Server,#MDN,Inbound,Outbound,Total,AvgUsagePerMDN,L5,L6,TotalSteering,SteeringRatio
aurora,5833,9163.328,1494.515,10657.843,1.827,5418.763,5361.166,10779.929,1.011
aurora_icsr,0,0.076,0.076,.152,0.000,0.009,0.009,.018,.118
wjordan,5728,9011.591,1253.847,10265.438,1.792,5081.742,5310.430,10392.172,1.012
wjordan_icsr,0,0.079,0.079,.158,0.000,0.014,0.014,.028,.177
plymouthmtg,4227,12220.629,2430.723,14651.352,3.466,7663.629,7474.403,15138.032,1.033
plymouthmtg_icsr,0,0.082,0.083,.165,0.000,0.009,0.020,.029,.175
wilmington,5795,12136.710,2455.995,14592.705,2.518,7483.319,7477.919,14961.238,1.025
wilmington_icsr,1,0.084,0.084,.168,.168,0.009,0.009,.018,.107
alpharetta,6459,13266.093,2232.569,15498.662,2.399,7654.192,7847.648,15501.840,1.000
alpharetta_icsr,0,0.082,0.084,.166,0.000,0.018,0.010,.028,.168
birmingham,5312,10936.167,1518.059,12454.226,2.344,5742.485,6519.272,12261.757,.984
birmingham_icsr,0,0.082,0.082,.164,0.000,0.010,0.009,.019,.115
lasvegas,5473,7024.113,1231.217,8255.330,1.508,4532.461,3679.495,8211.956,.994
lasvegas_icsr,0,0.081,0.082,.163,0.000,0.012,0.013,.025,.153
tempe,6275,12296.016,1959.868,14255.884,2.271,7230.170,6946.925,14177.095,.994
tempe_icsr,0,0.082,0.082,.164,0.000,0.019,0.009,.028,.170
columbus,6414,13210.960,2177.137,15388.097,2.399,7519.194,7725.422,15244.616,.990
columbus_icsr,0,0.082,0.082,.164,0.000,0.018,0.009,.027,.164
duff,6161,11691.733,1996.591,13688.324,2.221,7010.376,6728.685,13739.061,1.003
duff_icsr,0,0.083,0.083,.166,0.000,0.012,0.009,.021,.126
euless,5799,10132.788,1501.462,11634.250,2.006,5823.562,6233.850,12057.412,1.036
euless_icsr,0,0.081,0.082,.163,0.000,0.009,0.013,.022,.134
schertz,5709,11337.227,1878.496,13215.723,2.314,6456.841,6749.883,13206.724,.999
schertz_icsr,0,0.082,0.082,.164,0.000,0.000,0.015,.015,.091
hillsboro,5686,6519.110,1148.715,7667.825,1.348,3560.964,3937.563,7498.527,.977
hillsboro_icsr,0,0.079,0.103,.182,0.000,0.038,0.015,.053,.291
redmondridge,5909,9311.114,1696.811,11007.925,1.862,5712.271,5259.398,10971.669,.996
redmondridge_icsr,0,0.080,0.079,.159,0.000,0.021,0.020,.041,.257
bloomington,6674,14872.416,2132.399,17004.815,2.547,8475.617,8341.894,16817.511,.988
bloomington_icsr,0,0.086,0.116,.202,0.000,0.041,0.009,.050,.247
omaha,6734,14970.386,2296.085,17266.471,2.564,8939.002,8513.001,17452.003,1.010
omaha_icsr,0,0.079,0.115,.194,0.000,0.043,0.009,.052,.268
houston,6445,4527.422,781.700,5309.122,.823,2505.287,2773.208,5278.495,.994
houston,6527,4696.650,858.860,5555.510,.851,2658.123,3027.384,5685.507,1.023
houston,6650,1781.362,329.807,2111.169,.317,1182.785,1068.343,2251.128,1.066
houston_icsr,0,0.076,0.077,.153,0.000,0.026,0.026,.052,.339
houston_icsr,0,0.078,0.078,.156,0.000,0.032,0.027,.059,.378
houston_icsr,0,0.080,0.079,.159,0.000,0.030,0.033,.063,.396
batonrouge,5474,737.075,251.709,988.784,.180,437.130,464.556,901.686,.911
batonrouge,6377,4862.255,737.628,5599.883,.878,2815.414,2750.421,5565.835,.993
batonrouge,6468,4575.718,762.436,5338.154,.825,2647.423,2619.853,5267.276,.986
batonrouge_icsr,0,0.073,0.073,.146,0.000,0.027,0.027,.054,.369
batonrouge_icsr,0,0.074,0.074,.148,0.000,0.027,0.028,.055,.371
batonrouge_icsr,0,0.083,0.085,.168,0.000,0.034,0.039,.073,.434
richmond,6190,2680.456,455.359,3135.815,.506,1736.857,1387.804,3124.661,.996
richmond,6202,2787.868,490.843,3278.711,.528,1745.954,1640.428,3386.382,1.032
richmond,6234,2531.074,483.904,3014.978,.483,1329.385,1714.401,3043.786,1.009
richmond_icsr,0,0.079,0.075,.154,0.000,0.028,0.028,.056,.363
richmond_icsr,0,0.079,0.077,.156,0.000,0.032,0.028,.060,.384
richmond_icsr,0,0.080,0.081,.161,0.000,0.034,0.032,.066,.409
roanoke,6048,2103.765,277.219,2380.984,.393,1187.767,1250.995,2438.762,1.024
roanoke,6052,2009.999,430.316,2440.315,.403,1221.543,1134.000,2355.543,.965
roanoke,6140,2134.865,385.983,2520.848,.410,1467.981,1028.928,2496.909,.990
roanoke_icsr,0,0.074,0.076,.150,0.000,0.030,0.029,.059,.393
roanoke_icsr,0,0.078,0.081,.159,0.000,0.032,0.031,.063,.396
roanoke_icsr,0,0.079,0.075,.154,0.000,0.031,0.028,.059,.383
