clspcoykvzwvsas-y-at-secas-01-asmbs-001

===============================k get node colorado==========================
NAME                                      STATUS   ROLES           AGE    VERSION
clspcoykvzwvsas-y-at-secas-01-asmbs-001   Ready    control-plane   492d   v1.27.6
clspcoykvzwvsas-y-at-secas-01-asmbs-002   Ready    control-plane   492d   v1.27.6
clspcoykvzwvsas-y-at-secas-01-asmbs-003   Ready    control-plane   492d   v1.27.6
clspcoykvzwvsas-y-at-secas-01-asmwr-001   Ready    worker          492d   v1.27.6
clspcoykvzwvsas-y-at-secas-01-asmwr-002   Ready    worker          492d   v1.27.6
clspcoykvzwvsas-y-at-secas-01-asmwr-003   Ready    worker          492d   v1.27.6
clspcoykvzwvsas-y-at-secas-01-asmwr-004   Ready    worker          492d   v1.27.6
clspcoykvzwvsas-y-at-secas-01-asmwr-005   Ready    worker          492d   v1.27.6
clspcoykvzwvsas-y-at-secas-01-asmwr-006   Ready    worker          240d   v1.27.6
===============================k get pods colorado ==========================
NAMESPACE           NAME                                                              READY   STATUS      RESTARTS         AGE
istio-system        istio-cni-node-7k5h9                                              1/1     Running     0                216d
istio-system        istio-cni-node-d2n9t                                              1/1     Running     0                216d
istio-system        istio-cni-node-d5d2c                                              1/1     Running     0                216d
istio-system        istio-cni-node-jgpj2                                              1/1     Running     0                216d
istio-system        istio-cni-node-lwhwk                                              1/1     Running     0                216d
istio-system        istio-cni-node-mqxcz                                              1/1     Running     0                216d
istio-system        istio-cni-node-pm75g                                              1/1     Running     0                216d
istio-system        istio-cni-node-vp6hg                                              1/1     Running     0                216d
istio-system        istio-cni-node-x8782                                              1/1     Running     0                216d
istio-system        istiod-94f47b899-df7g6                                            1/1     Running     0                216d
kube-system         calico-kube-controllers-6d9c7bf7d7-dzwtq                          1/1     Running     193 (219d ago)   492d
kube-system         calico-node-b2787                                                 1/1     Running     2 (420d ago)     492d
kube-system         calico-node-gtcmm                                                 1/1     Running     0                240d
kube-system         calico-node-k9t8l                                                 1/1     Running     3 (420d ago)     492d
kube-system         calico-node-knfcn                                                 1/1     Running     3 (413d ago)     492d
kube-system         calico-node-lnbw7                                                 1/1     Running     4 (420d ago)     492d
kube-system         calico-node-qkg7r                                                 1/1     Running     3 (420d ago)     492d
kube-system         calico-node-qxkrv                                                 1/1     Running     2 (420d ago)     492d
kube-system         calico-node-ttg4k                                                 1/1     Running     2 (420d ago)     492d
kube-system         calico-node-wchm5                                                 1/1     Running     2 (420d ago)     492d
kube-system         coredns-c798655bd-dlr26                                           1/1     Running     0                28d
kube-system         coredns-c798655bd-ks8cl                                           1/1     Running     0                28d
kube-system         etcd-clspcoykvzwvsas-y-at-secas-01-asmbs-001                      1/1     Running     8 (50d ago)      492d
