*****cat CPU_MEM *****
Thu May 21 14:45:01 GMT 2026
       node_name        |      end_time       | average_memory_usage_percent | average_cpu_usage_percent | net_rx_kbytes_per_second | net_tx_kbytes_per_second | io_read_kbytes_per_second | io_written_kbytes_per_second 
------------------------+---------------------+------------------------------+---------------------------+--------------------------+--------------------------+---------------------------+------------------------------
 v_clearseedwh_node0001 | 2026-05-21 14:45:00 |                        14.18 |                      1.47 |                    79.45 |                    49.76 |                           |                             
 v_clearseedwh_node0002 | 2026-05-21 14:45:00 |                        14.17 |                      1.35 |                   367.68 |                    51.51 |                           |                             
 v_clearseedwh_node0003 | 2026-05-21 14:45:00 |                        14.17 |                       1.4 |                   350.42 |                    50.32 |                           |                             
 v_clearseedwh_node0004 | 2026-05-21 14:45:00 |                        14.09 |                      1.37 |                   349.16 |                    44.25 |                           |                             
 v_clearseedwh_node0005 | 2026-05-21 14:45:00 |                        14.01 |                      1.49 |                    67.51 |                    48.09 |                           |                             
 v_clearseedwh_node0006 | 2026-05-21 14:45:00 |                        14.13 |                      1.42 |                    66.41 |                    52.73 |                           |                             
 v_clearseedwh_node0007 | 2026-05-21 14:45:00 |                        14.15 |                      1.18 |                    68.08 |                    48.04 |                           |                             
 v_clearseedwh_node0008 | 2026-05-21 14:45:00 |                        11.65 |                      1.11 |                    67.72 |                    41.91 |                           |                             
 v_clearseedwh_node0009 | 2026-05-21 14:45:00 |                        14.09 |                      1.28 |                    67.01 |                    47.77 |                           |                             
 v_clearseedwh_node0010 | 2026-05-21 14:45:00 |                        13.97 |                      1.38 |                     65.4 |                    46.31 |                           |                             
 v_clearseedwh_node0011 | 2026-05-21 14:45:00 |                        17.11 |                      9.97 |                   589.51 |                   162.67 |                           |                             
 v_clearseedwh_node0012 | 2026-05-21 14:45:00 |                        14.33 |                      1.32 |                    68.19 |                    48.48 |                           |                             
 v_clearseedwh_node0001 | 2026-05-21 14:44:00 |                        14.18 |                      1.41 |                   353.04 |                    30.06 |                           |                             
 v_clearseedwh_node0002 | 2026-05-21 14:44:00 |                        14.19 |                      1.14 |                    44.36 |                    24.56 |                           |                             
 v_clearseedwh_node0003 | 2026-05-21 14:44:00 |                        14.17 |                      1.14 |                    45.09 |                    24.91 |                           |                             
 v_clearseedwh_node0004 | 2026-05-21 14:44:00 |                        14.16 |                      1.29 |                     44.5 |                    30.45 |                           |                             
 v_clearseedwh_node0005 | 2026-05-21 14:44:00 |                        14.01 |                      1.51 |                    46.32 |                    32.25 |                           |                             
 v_clearseedwh_node0006 | 2026-05-21 14:44:00 |                        14.16 |                      1.35 |                    46.24 |                    25.51 |                           |                             
 v_clearseedwh_node0007 | 2026-05-21 14:44:00 |                        14.18 |                      1.04 |                    46.06 |                    25.33 |                           |                             
 v_clearseedwh_node0008 | 2026-05-21 14:44:00 |                         11.7 |                      1.09 |                    45.17 |                    30.85 |                           |                             
 v_clearseedwh_node0009 | 2026-05-21 14:44:00 |                        14.12 |                      1.19 |                     44.4 |                    24.74 |                           |                             
 v_clearseedwh_node0010 | 2026-05-21 14:44:00 |                        14.02 |                      1.37 |                    45.93 |                    25.41 |                           |                             
 v_clearseedwh_node0011 | 2026-05-21 14:44:00 |                        17.12 |                      9.01 |                   808.86 |                     87.5 |                           |                             
 v_clearseedwh_node0012 | 2026-05-21 14:44:00 |                        14.35 |                      1.36 |                   333.32 |                    35.17 |                           |                             
 v_clearseedwh_node0001 | 2026-05-21 14:43:00 |                        14.16 |                      1.51 |                    70.62 |                    41.39 |                           |                             
 v_clearseedwh_node0002 | 2026-05-21 14:43:00 |                        14.17 |                      1.36 |                    60.23 |                    40.33 |                           |                             
 v_clearseedwh_node0003 | 2026-05-21 14:43:00 |                        14.16 |                      1.29 |                    57.72 |                    39.51 |                           |                             
