| SMP/CM | CLSPCOYKVZWvSAS-Y-AT-SECaS-01-CMGR-001 | CLSPCOYKVZWvSaS-Y-aT-SeCaS-01-CMGR-002 | SOLKTXESVZWvSAS-Y-AT-SECAS-01-CMGR-001 | SOLKTXESVZWvSAS-Y-AT-SECAS-01-CMGR-002 | Ping (S/F) | Traffic (S/F) |

| AURSCOTYVZWVSAS-Y-AT-SECAS-01-SUBMP-002 |  OK  |  OK  |  OK  |  OK  | 4/0 | 4/0 |
| AURSCOTYVZWVSAS-Y-AT-SECAS-01-SUBMP-001 |  OK  |  OK  |  OK  |  OK  | 4/0 | 2/2 |
| HSNOTX08VZWVSAS-Y-AT-SECAS-01-SUBMP-001 |  OK  |  OK  |  OK  |  OK  | 4/0 | 4/0 |
| SCHZTXCEVZWVSAS-Y-AT-SECAS-01-SUBMP-002 |  OK  |  OK  |  OK  |  OK  | 4/0 | 4/0 |
| SCHZTXCEVZWVSAS-Y-AT-SECAS-01-SUBMP-001 |  OK  |  OK  |  OK  |  OK  | 4/0 | 4/0 |
| HSNOTX08VZWVSAS-Y-AT-SECAS-01-SUBMP-002 |  OK  |  OK  |  OK  |  OK  | 4/0 | 4/0 |
| NLVGNVOQVZWVSAS-Y-AT-SECAS-01-SUBMP-002 |  OK  |  OK  |  OK  |  OK  | 4/0 | 4/0 |
| NLVGNVOQVZWVSAS-Y-AT-SECAS-01-SUBMP-001 |  OK  |  OK  |  OK  |  OK  | 4/0 | 4/0 |
| CLMBOHIQVZWVSAS-Y-AT-SECAS-01-SUBMP-002 |  OK  |  OK  |  OK  |  OK  | 4/0 | 4/0 |
| CLMBOHIQVZWVSAS-Y-AT-SECAS-01-SUBMP-001 |  OK  |  OK  |  OK  |  OK  | 3/1 | 3/1 |
| CNCQOH22VZWVSAS-Y-AT-SECAS-01-SUBMP-001 |  OK  |  OK  |  OK  |  OK  | 4/0 | 4/0 |
| ALPRGAGQVZWVSAS-Y-AT-SECAS-01-SUBMP-001 |  OK  |  OK  |  OK  |  OK  | 4/0 | 4/0 |
| ALPRGAGQVZWVSAS-Y-AT-SECAS-01-SUBMP-002 |  OK  |  OK  |  OK  |  OK  | 4/0 | 3/1 |
| CNCQOH22VZWVSAS-Y-AT-SECAS-01-SUBMP-002 |  OK  |  OK  |  OK  |  OK  | 3/1 | 3/1 |
| WMTPPAAAVZWVSAS-Y-AT-SECAS-01-SUBMP-002 |  OK  |  OK  |  OK  |  OK  | 4/0 | 4/0 |
| WJRDUT30VZWVSAS-Y-AT-SECAS-01-SUBMP-002 |  OK  |  OK  |  OK  |  OK  | 4/0 | 2/2 |
| RDMEWA22VZWVSAS-Y-AT-SECAS-01-SUBMP-002 |  OK  |  OK  |  OK  |  OK  | 4/0 | 4/0 |
| RDMEWA22VZWVSAS-Y-AT-SECAS-01-SUBMP-001 |  OK  |  OK  |  OK  |  OK  | 4/0 | 4/0 |
| WMTPPAAAVZWVSAS-Y-AT-SECAS-01-SUBMP-001 |  OK  |  OK  |  OK  |  OK  | 4/0 | 4/0 |
| WJRDUT30VZWVSAS-Y-AT-SECAS-01-SUBMP-001 |  OK  |  OK  |  OK  |  OK  | 3/1 | 3/1 |
| BLTNMN86VZWVSAS-Y-AT-SECAS-01-SUBMP-002 |  OK  |  OK  |  OK  |  OK  | 3/1 | 3/0 |
| BLTNMN86VZWVSAS-Y-AT-SECAS-01-SUBMP-001 |  OK  |  OK  |  OK  |  OK  | 4/0 | 3/1 |
| HLBOOR38VZWVSAS-Y-AT-SECAS-01-SUBMP-002 |  OK  |  OK  |  OK  |  OK  | 4/0 | 4/0 |
| TEMQAZKWVZWVSAS-Y-AT-SECAS-01-SUBMP-002 |  OK  |  OK  |  OK  |  OK  | 4/0 | 4/0 |
| TEMQAZKWVZWVSAS-Y-AT-SECAS-01-SUBMP-001 |  OK  |  OK  |  OK  |  OK  | 3/1 | 2/0 |
| HLBOOR38VZWVSAS-Y-AT-SECAS-01-SUBMP-001 |  OK  |  OK  |  OK  |  OK  | 4/0 | 4/0 |
| BRHOALTBVZWVSAS-Y-AT-SECAS-01-SUBMP-001 |  OK  |  OK  |  OK  |  OK  | 3/1 | 3/0 |
| BRHOALTBVZWVSAS-Y-AT-SECAS-01-SUBMP-002 |  OK  |  OK  |  OK  |  OK  | 3/1 | 2/2 |
| OMALNEXUVZWVSAS-Y-AT-SECAS-01-SUBMP-001 |  OK  |  OK  |  OK  |  OK  | 4/0 | 2/2 |
| OMALNEXUVZWVSAS-Y-AT-SECAS-01-SUBMP-002 |  OK  |  OK  |  OK  |  OK  | 4/0 | 4/0 |
| ELSSTX13VZWVSAS-Y-AT-SECAS-01-SUBMP-001 |  OK  |  OK  |  OK  |  OK  | 4/0 | 4/0 |
| ELSSTX13VZWVSAS-Y-AT-SECAS-01-SUBMP-002 |  OK  |  OK  |  OK  |  OK  | 4/0 | 4/0 |
| NWCSDEBGVZWVSAS-Y-AT-SECAS-01-SUBMP-002 |  OK  |  OK  |  OK  |  OK  | 3/1 | 3/0 |
| BTRHLAGRVZWVSAS-Y-AT-SECAS-01-SUBMP-001 |  OK  |  OK  |  OK  |  OK  | 4/0 | 4/0 |
| NWCSDEBGVZWVSAS-Y-AT-SECAS-01-SUBMP-001 |  OK  |  OK  |  OK  |  OK  | 3/1 | 2/1 |
| BTRHLAGRVZWVSAS-Y-AT-SECAS-01-SUBMP-002 |  OK  |  OK  |  OK  |  OK  | 4/0 | 4/0 |
