*****cat CPU_MEM *****
Thu May 21 14:45:01 GMT 2026
       node_name        |      end_time       | average_memory_usage_percent | average_cpu_usage_percent | net_rx_kbytes_per_second | net_tx_kbytes_per_second | io_read_kbytes_per_second | io_written_kbytes_per_second 
------------------------+---------------------+------------------------------+---------------------------+--------------------------+--------------------------+---------------------------+------------------------------
 v_clearseedwh_node0001 | 2026-05-21 14:45:00 |                        16.95 |                      7.16 |                   767.34 |                   519.98 |                           |                             
 v_clearseedwh_node0002 | 2026-05-21 14:45:00 |                        13.69 |                      1.78 |                   351.44 |                   417.14 |                           |                             
 v_clearseedwh_node0003 | 2026-05-21 14:45:00 |                        13.67 |                      1.38 |                    346.6 |                   148.64 |                           |                             
 v_clearseedwh_node0004 | 2026-05-21 14:45:00 |                        13.59 |                      1.49 |                   451.18 |                    80.09 |                           |                             
 v_clearseedwh_node0005 | 2026-05-21 14:45:00 |                        13.66 |                       1.4 |                   362.05 |                    62.11 |                           |                             
 v_clearseedwh_node0006 | 2026-05-21 14:45:00 |                         13.7 |                      1.67 |                   732.28 |                    56.19 |                           |                             
 v_clearseedwh_node0007 | 2026-05-21 14:45:00 |                        13.65 |                      1.48 |                    75.58 |                    54.98 |                           |                             
 v_clearseedwh_node0008 | 2026-05-21 14:45:00 |                         13.7 |                      1.53 |                    73.57 |                    60.77 |                           |                             
 v_clearseedwh_node0009 | 2026-05-21 14:45:00 |                        13.79 |                      1.13 |                    60.39 |                     65.5 |                           |                             
 v_clearseedwh_node0010 | 2026-05-21 14:45:00 |                        13.61 |                      1.49 |                    61.02 |                    59.81 |                           |                             
 v_clearseedwh_node0011 | 2026-05-21 14:45:00 |                        13.78 |                      1.42 |                    60.94 |                    54.29 |                           |                             
 v_clearseedwh_node0012 | 2026-05-21 14:45:00 |                        13.76 |                      1.47 |                     84.5 |                    60.49 |                           |                             
 v_clearseedwh_node0001 | 2026-05-21 14:44:00 |                        16.97 |                      6.01 |                   788.51 |                    73.65 |                           |                             
 v_clearseedwh_node0002 | 2026-05-21 14:44:00 |                        13.75 |                      1.25 |                    40.06 |                    26.89 |                           |                             
 v_clearseedwh_node0003 | 2026-05-21 14:44:00 |                        13.68 |                      1.04 |                    40.17 |                       21 |                           |                             
 v_clearseedwh_node0004 | 2026-05-21 14:44:00 |                         13.6 |                      1.09 |                    40.15 |                    20.93 |                           |                             
 v_clearseedwh_node0005 | 2026-05-21 14:44:00 |                        13.72 |                      1.24 |                    40.54 |                    27.29 |                           |                             
 v_clearseedwh_node0006 | 2026-05-21 14:44:00 |                        13.73 |                      1.16 |                    40.32 |                    21.11 |                           |                             
 v_clearseedwh_node0007 | 2026-05-21 14:44:00 |                        13.68 |                      1.14 |                    40.55 |                    21.34 |                           |                             
 v_clearseedwh_node0008 | 2026-05-21 14:44:00 |                        13.75 |                      1.12 |                     52.5 |                    22.05 |                           |                             
 v_clearseedwh_node0009 | 2026-05-21 14:44:00 |                        13.81 |                      0.88 |                    40.13 |                    20.98 |                           |                             
 v_clearseedwh_node0010 | 2026-05-21 14:44:00 |                        13.63 |                      1.14 |                    40.07 |                    20.93 |                           |                             
 v_clearseedwh_node0011 | 2026-05-21 14:44:00 |                         13.8 |                       1.1 |                    40.22 |                    21.08 |                           |                             
 v_clearseedwh_node0012 | 2026-05-21 14:44:00 |                        13.77 |                      1.15 |                   326.89 |                     23.8 |                           |                             
